formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
MgAu3,Au-Mg,221,Pm-3m,-12.753069,114.011,31.384,86.233,0.374,3.76,4,-0.32671875,17.7725,4.106527,4.106527,4.106527,90,90,90,69.25069708,14.7517858,17.31267427
MgAu3,Au-Mg,63,Cmcm,-102.534276,113.889,29.21,80.699,0.382,4.19,32,-0.342647625,17.6834375,5.758168,9.519893,10.480515,90,105.944632,90,552.4090347,14.79442059,17.26278233
MgAu3,Au-Mg,139,I4/mmm,-12.800004,111.792,22.963,64.393,0.404,5.703,4,-0.3384525,17.7575,5.063405,5.063405,5.063405,132.456279,132.456279,69.509332,69.32111776,14.73680002,17.33027944
MgAu5,Au-Mg,155,R32,-19.166039,122.202,25.103,70.474,0.404,5.118,6,-0.173342833,17.88,5.601469,5.601469,5.601469,53.24685,53.24685,53.246844,104.6218636,16.01685115,17.43697726
MgAu5,Au-Mg,189,P-62m,-19.192635,120.556,22.008,62.188,0.414,6.218,6,-0.1777755,17.86333333,5.026023,5.026023,4.783374,90,90,119.999992,104.643894,16.01347916,17.440649
MgB2,B-Mg,191,P6/mmm,-15.311352,149.029,119.924,283.183,0.184,1.389,3,-3.378423667,9.6,3.062762,3.062762,3.52087,90,90,120.000003,28.60271014,2.666306002,9.534236712
MgB4,B-Mg,62,Pnma,-116.12648,159.631,113.667,274.792,0.214,1.63,20,-4.021194,8.9435,4.378154,5.469478,7.412969,90,90,90,177.5125531,2.527545269,8.875627654
MgB7,B-Mg,74,Imma,-197.998285,184.327,183.16,412.762,0.127,1.011,32,-4.368695969,7.9121875,5.958486,7.247178,7.247178,92.131929,114.277969,114.277969,251.9049607,2.63629611,7.872030021
MgBe13,Be-Mg,226,Fm-3c,-100.981949,100.216,99.133,223.524,0.128,1.071,28,0.179618054,9.173571429,7.139748,7.139747,7.139707,60.000194,60.0002,60.000387,257.3556621,1.825531592,9.191273645
MgBi,Bi-Mg,51,Pmma,-11.176149,45.138,14.513,38.529,0.358,6.044,4,-0.132128578,26.8925,3.274259,5.629904,5.92383,90,90,90,109.1984833,7.094961557,27.29962081
MgBi,Bi-Mg,221,Pm-3m,-5.536708,43.519,19.11,49.965,0.309,2.503,2,-0.106445328,26.635,3.771803,3.771803,3.771803,90,90,90,53.65954735,7.219209619,26.82977367
MgBi,Bi-Mg,12,C2/m,-11.234475,42.99,20.912,52.981,0.294,1.474,4,-0.146710078,27.27,6.173533,6.173533,5.324171,79.022916,79.022916,33.569068,109.9600043,7.045825852,27.49000106
MgBi,Bi-Mg,8,Cm,-16.870473,42.486,22.82,57.488,0.274,1.457,6,-0.149836828,27.665,6.197285,6.197285,8.764035,69.931191,69.931191,31.626207,164.8951068,7.047744372,27.4825178
MgBi,Bi-Mg,59,Pmmn,-11.288872,42.45,18.52,48.4,0.31,2.667,4,-0.160309328,27.3525,3.694995,5.021316,5.96778,90,90,90,110.7246237,6.997170233,27.68115591
MgBi,Bi-Mg,8,Cm,-16.620968,40.311,11.248,30.149,0.377,8.204,6,-0.108252661,27.97,6.658692,6.658692,7.836304,77.777441,77.777441,29.303027,165.9293753,7.003814477,27.65489589
MgBi,Bi-Mg,38,Amm2,-32.966785,37.297,12.62,33.925,0.349,3.6,12,-0.085323411,28.09166667,5.332016,3.542926,17.738614,90,90,90,335.0990746,6.936089349,27.92492288
MgBi,Bi-Mg,38,Amm2,-32.571927,37.138,21.083,52.145,0.265,1.272,12,-0.052418578,28.22416667,5.5388,3.595387,16.898605,90,90,90,336.5210273,6.906781252,28.04341894
MgBi,Bi-Mg,8,Cm,-16.624949,35.011,9.131,24.87,0.382,6.716,6,-0.108916161,28.38333333,6.581556,6.581556,8.053567,74.179273,74.179273,30.461299,169.6479218,6.850296477,28.27465364
MgBi,Bi-Mg,38,Amm2,-33.764381,33.074,10.719,28.973,0.354,3.589,12,-0.151789744,29.1875,5.395907,10.320554,6.068876,90,90,90,337.9681645,6.877207283,28.16401371
MgBi,Bi-Mg,5,C2,-16.86375,27.507,7.935,21.713,0.368,3.289,6,-0.148716328,28.88833333,5.781884,5.781884,5.67553,78.111918,78.111918,66.571491,168.722933,6.887851822,28.12048883
MgBi,Bi-Mg,5,C2,-16.919062,25.884,12.878,33.128,0.287,2.125,6,-0.157934994,30.29333333,5.776245,5.776245,6.020198,71.268037,71.268037,65.090231,168.439863,6.899427132,28.07331051
MgBi2,Bi-Mg,63,Cmcm,-18.850663,74.79,45.111,109.837,0.299,1.315,6,-0.068069603,28.85666667,9.094367,9.094367,5.731456,90,90,158.536116,173.4561737,8.467840873,28.90936229
MgBi2,Bi-Mg,12,C2/m,-18.842757,37.062,9.794,27.004,0.379,3.772,6,-0.066751937,29.36,5.993606,5.993606,9.69247,65.812288,65.812288,34.025815,176.0417495,8.34347126,29.34029158
MgBi2,Bi-Mg,63,Cmcm,-18.862532,35.419,9.607,26.383,0.374,3.158,6,-0.07004777,29.115,8.594784,8.594784,5.890664,90,90,155.963825,177.2404529,8.287043129,29.54007549
MgBi2,Bi-Mg,12,C2/m,-18.808391,34.74,9.278,25.523,0.379,4.392,6,-0.06102427,29.54666667,6.654532,6.654532,8.40333,71.724478,71.724478,29.56233,173.6706454,8.457383653,28.94510757
MgBi2,Bi-Mg,12,C2/m,-18.983731,32.82,14.396,37.535,0.311,2.825,6,-0.090247603,30.21,6.754317,6.754317,8.308121,74.428679,74.428679,29.07077,176.9403632,8.301097901,29.49006053
MgBi2,Bi-Mg,12,C2/m,-18.768012,32.352,12.41,32.977,0.331,2.9,6,-0.054294437,30.09166667,6.894824,6.894824,7.929989,72.649611,72.649611,29.946412,178.9940385,8.205855847,29.83233975
MgBi2,Bi-Mg,15,C2/c,-18.648921,31.884,16.613,41.561,0.28,1.345,6,-0.034445937,29.77,5.845923,5.845923,6.666173,64.015588,64.015588,64.658847,176.0550915,8.342838966,29.34251525
MgBi2,Bi-Mg,63,Cmcm,-18.782277,15.765,1.763,5.139,0.476,68.573,6,-0.056671937,29.045,9.126261,9.126261,5.6793,90,90,158.322503,174.725406,8.406329169,29.12090101
MgBi3,Bi-Mg,194,P6_3/mmc,-26.214767,46.285,30.732,65.664,0.264,0.783,8,0.002761134,29.7475,7.00723,7.00723,5.584068,90,90,119.999998,237.4510322,9.1085707,29.68137902
MgC2,C-Mg,136,P4_2/mnm,-37.35441,77.702,26.731,71.274,0.35,4.37,6,0.385914333,12.915,3.950777,3.950777,4.987089,90,90,90,77.84167138,2.061823024,12.9736119
MgCd,Cd-Mg,8,Cm,-7.281706,47.067,30.928,73.825,0.238,1.048,6,-0.160319667,21.36833333,5.807618,5.807618,7.527465,74.768622,74.768622,31.445578,127.4225989,5.344944956,21.23709981
MgCd,Cd-Mg,187,P-6m2,-2.399561,43.613,28.798,70.806,0.229,1.536,2,-0.1464825,22.11,3.168343,3.168343,4.932693,90,90,119.999989,42.8824163,5.294064062,21.44120815
MgCd,Cd-Mg,38,Amm2,-7.33053,42.777,8.974,24.894,0.403,8.208,6,-0.168457,21.80833333,3.242615,8.075,4.922644,90,90,78.417365,126.2702629,5.393722652,21.04504381
MgCd,Cd-Mg,51,Pmma,-4.957583,42.654,7.928,22.39,0.412,4.986,4,-0.18609775,21.61,3.232834,4.960329,5.213957,90,90,90,83.61061992,5.430464676,20.90265498
MgCd,Cd-Mg,8,Cm,-7.251362,42.467,23.194,58.729,0.27,2.112,6,-0.155262333,21.985,6.075375,6.075375,7.280581,74.70814,74.70814,29.576463,127.609949,5.337097793,21.26832483
MgCd,Cd-Mg,38,Amm2,-14.284523,41.855,30.171,72.97,0.21,1.422,12,-0.137078917,22.19333333,5.04837,3.218329,15.803415,90,90,90,256.7630668,5.305021362,21.39692223
MgCd,Cd-Mg,5,C2,-7.277833,41.845,19.544,50.677,0.298,2.38,6,-0.159674167,21.97,5.353935,5.353935,5.86613,65.035322,65.035322,59.751531,126.888098,5.367459895,21.14801633
MgCd,Cd-Mg,59,Pmmn,-4.828733,41.628,17.661,45.727,0.317,3.747,4,-0.15388525,22.105,3.214575,5.085839,5.217453,90,90,90,85.29917256,5.322965094,21.32479314
MgCd,Cd-Mg,38,Amm2,-14.571368,41.392,24.351,61.076,0.254,1.722,12,-0.160982667,21.81333333,5.044715,9.366317,5.329698,90,90,90,251.8303438,5.408933386,20.98586198
MgCd,Cd-Mg,12,C2/m,-4.876462,41.382,18.639,48.132,0.307,3.173,4,-0.1658175,22.03,5.935058,5.935058,5.266738,66.445106,66.445106,30.205211,84.96395938,5.343966093,21.24098985
MgCd,Cd-Mg,8,Cm,-7.169759,41.212,17.347,45.169,0.317,3.439,6,-0.141661833,22.14333333,6.086133,6.086133,7.3401,73.94568,73.94568,29.542591,128.4586257,5.301837642,21.40977095
MgCd2,Cd-Mg,63,Cmcm,-13.008515,44.686,26.736,66.808,0.251,1.822,12,-0.155149583,21.93083333,3.203149,15.712339,5.018556,90,90,90,252.5786877,6.551385943,21.04822398
MgCd2,Cd-Mg,63,Cmcm,-12.923428,43.959,24.528,62.013,0.265,1.91,12,-0.148059,21.96666667,3.125609,16.139183,5.033479,90,90,90,253.9127244,6.516965496,21.1593937
MgCd2,Cd-Mg,12,C2/m,-6.484387,43.519,21.579,55.447,0.288,2.309,6,-0.151837833,21.92666667,6.043852,6.043852,7.362763,73.435639,73.435639,29.576606,126.847267,6.522570423,21.14121117
MgCd2,Cd-Mg,38,Amm2,-12.711884,43.497,13.448,36.49,0.36,3.872,12,-0.130430333,22.14916667,4.976762,3.20515,16.025173,90,90,90,255.6218435,6.473392264,21.30182029
MgCd2,Cd-Mg,189,P-62m,-6.379598,43.203,18.76,49.109,0.311,2.56,6,-0.134373,22.14666667,5.007915,5.413168,5.41317,60.000008,90,90,127.0839525,6.510422566,21.18065875
MgCd2,Cd-Mg,12,C2/m,-6.397376,42.834,18.017,47.278,0.316,2.821,6,-0.137336,22.10333333,6.053032,6.053032,7.493045,72.03975,72.03975,29.392308,127.7103256,6.478491289,21.28505427
MgCd2,Cd-Mg,8,Cm,-6.388313,42.298,25.108,62.866,0.252,1.761,6,-0.1358255,22.185,5.768852,5.768852,7.188243,78.317887,78.317887,33.318724,128.4353606,6.44191933,21.40589343
MgCd2,Cd-Mg,15,C2/c,-6.480174,42.187,15.021,40.247,0.342,3.118,6,-0.151135667,22.05333333,5.248625,5.248625,6.275966,63.000266,63.000266,59.494437,126.972651,6.516129465,21.16210849
MgCd2,Cd-Mg,63,Cmcm,-6.320398,41.38,28.092,65.146,0.236,0.924,6,-0.124506333,22.23833333,8.028572,8.028572,5.118352,90,90,157.100307,128.3775792,6.44481877,21.3962632
MgCd2,Cd-Mg,12,C2/m,-12.763696,40.088,16.549,43.452,0.321,3.081,12,-0.134748,22.285,11.819437,3.092582,7.308459,90,107.19993,90,255.1960299,6.484193601,21.26633583
MgCd2,Cd-Mg,155,R32,-19.001339,39.272,9.068,25.259,0.393,4.333,18,-0.126736611,22.22944444,5.409377,5.409376,15.093882,90,90,120.000002,382.4952039,6.489259658,21.24973355
MgCd2,Cd-Mg,63,Cmcm,-6.487584,38.99,9.035,25.156,0.393,4.599,6,-0.152370667,22.01333333,5.288106,5.288106,5.14767,90,90,119.224386,125.6270325,6.585925146,20.93783874
MgCd3,Cd-Mg,194,P6_3/mmc,-8.107655,45.996,20.815,54.243,0.303,2.335,8,-0.146765875,22.07375,6.331708,6.331708,4.854468,90,90,119.99999,168.5443137,7.12391845,21.06803921
MgCd3,Cd-Mg,44,Imm2,-3.954257,42.585,16.55,43.943,0.328,2.716,4,-0.12187325,22.275,5.932094,5.932094,5.932094,148.971171,126.97788,62.715142,85.13297394,7.051885365,21.28324349
MgCd3,Cd-Mg,221,Pm-3m,-4.00085,42.112,5.819,16.548,0.435,13.084,4,-0.1335215,22.3475,4.394982,4.394982,4.394982,90,90,90,84.89289956,7.07182787,21.22322489
MgCl2,Cl-Mg,40,Ama2,-20.375499,35.134,10.07,26.887,0.377,8.583,6,-2.80143502,26.44333333,4.456462,4.456462,9.554263,90,90,123.078812,158.9939353,1.98877504,26.49898922
MgCl2,Cl-Mg,166,R-3m,-10.78,10.669,6.313,15.723,0.288,2.881,3,-2.998851853,25.51666667,6.410972,6.410972,6.410972,32.986433,32.986437,32.986434,69.50417282,2.274706376,23.16805761
MgCl2,Cl-Mg,51,Pmma,-20.716379,10.474,5.939,14.862,0.299,3.276,6,-2.858248353,25.91833333,3.669437,6.320725,6.509921,90,90,90,150.9878669,2.094229004,25.16464449
MgCl2,Cl-Mg,2,P-1,-20.84358,7.595,2.848,7.525,0.292,1.517,6,-2.87944852,41.43333333,6.791105,7.083166,7.125262,64.865046,65.968925,77.367579,282.9606961,1.117480889,47.16011602
MgCl2,Cl-Mg,115,P-4m2,-10.53562,6.01,3.447,8.668,0.272,2.12,3,-2.917391853,30.74666667,3.933483,3.933483,5.664335,90,90,90,87.64022534,1.803984237,29.21340845
MgCu,Cu-Mg,221,Pm-3m,-10.867292,76.185,54.695,132.157,0.211,1.563,4,-0.1645515,15.2925,3.185581,4.441222,4.442108,90,90,90,62.84638701,4.642431315,15.71159675
MgCu2,Cu-Mg,227,Fd-3m,-18.744289,91.853,27.483,74.964,0.364,3.457,6,-0.1965235,14.63666667,4.92312,4.923111,4.923111,60,60.000064,60.000051,84.37330902,5.959245548,14.06221817
MgCu3,Cu-Mg,139,I4/mmm,-12.939256,99.064,37.379,99.341,0.333,3.171,4,-0.11966275,13.5,4.561653,4.561653,4.561653,131.899938,131.899938,70.38711,51.53336338,6.926022778,12.88334085
MgCu5,Cu-Mg,155,R32,-20.299614,110.499,26.813,74.3,0.388,4.858,6,-0.080491167,12.965,4.548206,4.548208,5.018257,116.946975,63.053012,119.999982,76.61053561,7.413634105,12.7684226
MgF2,F-Mg,38,Amm2,-14.967823,99.984,89.181,198.318,0.167,0.761,3,-3.330441333,10.56333333,2.830717,3.771297,3.244855,90,90,112.04271,32.1083105,3.22205005,10.70277017
MgF2,F-Mg,136,P4_2/mnm,-31.54056,97.925,52.076,132.581,0.274,2.057,6,-3.597927,11.22833333,3.047784,4.615197,4.615197,90,90,90,64.91790991,3.1872432,10.81965165
MgF2,F-Mg,58,Pnnm,-31.540566,97.849,52.098,132.613,0.274,2.054,6,-3.597928,11.23,3.09233,4.643975,4.734953,90,90,90,67.99725475,3.042904712,11.33287579
MgF2,F-Mg,74,Imma,-30.957875,50.631,14.652,40.029,0.37,4.068,6,-3.500812833,18.37666667,5.753609,5.753609,5.753609,140.206454,110.034676,83.63024,110.7928033,1.867532554,18.46546721
MgF2,F-Mg,12,C2/m,-30.937978,46.894,14.002,38.173,0.367,3.808,6,-3.497496667,18.135,5.587892,5.587892,6.763649,54.046474,54.046474,41.274294,108.4861808,1.907239847,18.08103014
MgF3,F-Mg,139,I4/mmm,-15.049452,104.083,4.342,7.27,0.487,3.576,4,-2.074489875,9.6025,4.52452,4.52452,4.52452,139.361201,139.361201,58.82452,38.91727245,3.468952618,9.729318113
MgGa,Ga-Mg,88,I4_1/a,-75.470135,48.525,12.928,35.427,0.378,5.15,32,-0.183436344,19.729375,10.494179,10.49425,5.499288,89.999824,90.000038,89.99836,605.6286139,4.124961437,18.92589418
MgGa,Ga-Mg,5,C2,-13.839447,46.663,22.652,58.418,0.291,2.296,6,-0.131569125,19.60333333,5.155092,5.155092,5.514611,67.334098,67.334098,59.76127,113.4186008,4.129935466,18.90310014
MgGa,Ga-Mg,123,P4/mmm,-4.674882,46.232,24.92,63.332,0.272,1.997,2,-0.162435625,19.375,3.030549,3.030549,3.987968,90,90,90,36.62640434,4.262967391,18.31320217
MgGa,Ga-Mg,8,Cm,-13.868959,46.212,485.618,197.452,-0.206,0.049,6,-0.136487792,19.845,5.395135,5.395135,7.558912,71.321761,71.321761,33.338357,113.9626214,4.110220495,18.99377023
MgGa,Ga-Mg,8,Cm,-13.83813,44.971,19.368,50.491,0.313,3.054,6,-0.131349625,19.89833333,5.827964,5.827964,6.809035,75.753243,75.753243,32.105427,118.8164385,3.942312258,19.80273976
MgGa,Ga-Mg,12,C2/m,-9.323097,44.802,16.733,44.188,0.338,4.018,4,-0.155768875,19.65,5.780036,5.780036,5.078786,68.574938,68.574938,29.7223,77.88587524,4.009383393,19.47146881
MgGa,Ga-Mg,187,P-6m2,-4.594824,43.894,6.938,19.489,0.425,4.064,2,-0.122406625,19.99,3.151869,3.151869,4.458249,90,90,119.999142,38.35615648,4.070719844,19.17807824
MgGa,Ga-Mg,38,Amm2,-13.663029,43.584,14.074,37.463,0.357,5.557,6,-0.102166125,20.035,7.783531,7.783531,4.995052,90,90,156.40497,121.1283833,3.867066409,20.18806388
MgGa,Ga-Mg,38,Amm2,-13.9105,43.583,13.903,37.701,0.356,3.12,6,-0.143411292,19.75333333,7.735048,7.735048,4.713613,90,90,156.367008,113.0552112,4.143210181,18.8425352
MgGa,Ga-Mg,8,Cm,-13.678647,43.522,15.795,42.217,0.338,3.119,6,-0.104769125,20.09,5.76712,5.76712,7.146196,71.672461,71.672461,32.424577,120.4144949,3.889992665,20.06908249
MgGa,Ga-Mg,38,Amm2,-13.628661,43.401,15.319,40.702,0.344,4.224,6,-0.096438125,20.17666667,7.725379,7.725379,5.024098,90,90,156.208119,120.9624224,3.872372037,20.16040373
MgGa,Ga-Mg,156,P3m1,-13.563592,42.628,26.674,59.633,0.266,0.874,6,-0.085593292,20.05666667,3.064349,3.064349,15.001724,90,90,119.999982,121.9967842,3.839539748,20.33279737
MgGa,Ga-Mg,59,Pmmn,-9.179138,42.302,13.893,37.42,0.354,3.898,4,-0.119779125,19.9675,3.250597,4.8307,5.134092,90,90,90,80.61889558,3.873463317,20.1547239
MgGa,Ga-Mg,38,Amm2,-13.757292,41.174,8.715,24.164,0.401,3.299,6,-0.117876625,19.865,5.391815,5.391815,4.788207,90,90,121.363119,118.8619429,3.940803008,19.81032381
MgGa2,Ga-Mg,12,C2/m,-15.127037,49.672,37.277,85.391,0.22,0.889,6,-0.096669667,19.38666667,5.66615,5.66615,7.054293,73.446903,73.446903,32.665269,116.7267165,4.6590008,19.45445275
MgGa2,Ga-Mg,194,P6_3/mmc,-15.371432,48.207,11.808,32.253,0.389,7.757,6,-0.137402167,19.29,4.290985,4.290985,6.912503,90,90,119.999997,110.2249686,4.933817375,18.3708281
MgGa2,Ga-Mg,15,C2/c,-15.250267,47.9,15.231,41.025,0.358,4.409,6,-0.117208,19.205,5.041368,5.041368,6.56679,55.442179,55.442179,60.838805,109.7746767,4.954055724,18.29577945
MgGa2,Ga-Mg,12,C2/m,-15.105801,47.846,21.903,56.86,0.302,2.573,6,-0.093130333,19.39166667,5.610549,5.610549,7.227689,71.335721,71.335721,32.917888,116.5530718,4.665941936,19.42551196
MgGa2,Ga-Mg,12,C2/m,-15.124852,47.288,19.811,52.122,0.316,2.572,6,-0.0963055,19.34666667,5.513971,5.513971,6.790454,72.094929,72.094929,34.614248,111.0300214,4.898043418,18.50500356
MgGa2,Ga-Mg,63,Cmcm,-15.1628,47.257,28.085,70.149,0.253,1.945,6,-0.102630167,19.50833333,5.280813,5.280813,5.168615,90,90,126.067428,116.5095875,4.667683382,19.41826458
MgGa2,Ga-Mg,63,Cmcm,-15.042915,45.872,12.959,35.468,0.371,3.07,6,-0.082649333,19.365,7.510609,7.510609,5.021647,90,90,156.069337,114.9019666,4.732990056,19.15032777
MgGa2,Ga-Mg,63,Cmcm,-15.159831,45.839,22.549,58.109,0.289,2.106,6,-0.102135333,19.375,7.464346,7.464346,4.893218,90,90,155.027047,115.1029321,4.724726429,19.18382202
MgGa2,Ga-Mg,38,Amm2,-15.060664,45.544,16.951,45.012,0.336,3.481,6,-0.0856075,19.46666667,7.621582,7.621582,4.621409,90,90,155.439274,111.5835496,4.873745882,18.59725827
MgGa2,Ga-Mg,155,R32,-15.056884,45.537,15.018,38.826,0.358,10.084,6,-0.0849775,19.38333333,5.526519,5.526519,5.526519,56.95066,56.95066,56.950679,110.9608684,4.901095974,18.49347807
MgGa2,Ga-Mg,63,Cmcm,-14.94381,44.223,11.18,30.923,0.383,3.704,6,-0.066131833,19.69833333,7.471278,7.471278,5.035104,90,90,155.378388,117.0960549,4.644305616,19.51600915
MgGa2,Ga-Mg,194,P6_3/mmc,-14.922717,43.974,13.541,36.665,0.362,4.292,6,-0.062616333,19.70166667,3.040296,3.040296,14.793525,90,90,119.999989,118.4224233,4.592287934,19.73707054
MgGa2,Ga-Mg,187,P-6m2,-14.893987,43.165,6.924,19.617,0.425,9.388,6,-0.057828,19.845,3.06309,3.06309,14.75541,90,90,120.000005,119.8951094,4.535880304,19.98251824
MgGa2,Ga-Mg,189,P-62m,-14.996913,42.381,5.001,14.404,0.444,11.405,6,-0.074982333,19.57666667,5.164886,5.164886,4.807046,90,90,119.999984,111.0530633,4.897027142,18.50884389
MgGa3,Ga-Mg,194,P6_3/mmc,-21.113831,48.955,25.268,64.43,0.281,2.347,8,-0.089976813,18.89625,5.857414,5.857414,4.831785,90,90,119.999993,143.5655285,5.400916251,17.94569107
MgGa3,Ga-Mg,221,Pm-3m,-10.581655,48.055,41.275,70.483,0.256,0.529,4,-0.096161688,18.6675,4.128398,4.128398,4.128398,90,90,90,70.36305282,5.509890241,17.59076321
MgGa3,Ga-Mg,139,I4/mmm,-10.567498,47.331,6.856,19.537,0.431,10.054,4,-0.092622438,18.795,5.137241,5.137241,5.137241,132.936064,132.936064,68.754574,71.35006375,5.43366996,17.83751594
MgGa3,Ga-Mg,225,Fm-3m,-10.236293,47.311,7.645,21.723,0.423,7.682,4,-0.009821188,19.55,4.824071,4.824071,4.824071,60,60,60,79.38271609,4.883842694,19.84567902
MgGa3,Ga-Mg,25,Pmm2,-10.48963,46.462,28.08,70,0.249,1.86,4,-0.073155438,19.1925,3.005319,4.887513,4.938642,90,90,90,72.54142004,5.344432158,18.13535501
MgGa3,Ga-Mg,44,Imm2,-10.4698,46.27,10.255,28.64,0.397,4.827,4,-0.068197938,19.215,5.568721,5.568721,5.568721,147.090812,128.296048,62.660785,72.87682485,5.319835199,18.21920621
MgGa3,Ga-Mg,187,P-6m2,-10.311634,45.025,26.591,66.644,0.253,1.745,4,-0.028656438,19.705,3.212284,3.212284,8.864097,90,90,120.000008,79.21238164,4.894344672,19.80309541
MgGa5,Ga-Mg,8,Cm,-16.287441,48.339,22.611,58.648,0.298,2.303,6,-0.040572542,19.05666667,5.557294,5.557294,6.575379,72.201185,72.201185,34.634108,109.335969,5.663719214,18.22266151
MgGa5,Ga-Mg,189,P-62m,-16.24874,45.621,12.905,35.217,0.371,4.662,6,-0.034122375,19.21666667,5.097791,5.097791,4.861899,90,90,119.999996,109.4209867,5.65931863,18.23683112
MgGa5,Ga-Mg,155,R32,-16.235212,45.565,5.745,12.395,0.455,2.248,6,-0.031867708,19.16333333,5.607686,5.607686,5.607685,54.510668,54.510668,54.510658,108.7345301,5.695046715,18.12242169
MgGe,Ge-Mg,12,C2/m,-12.455224,52.276,24.158,62.634,0.301,2.567,4,-0.20125525,19.79,5.576078,5.576078,4.839034,72.773329,72.773329,33.130984,78.21003021,4.116632084,19.55250755
MgH2,H-Mg,62,Pnma,-34.331617,62.735,26.412,69.165,0.316,2.995,12,-0.098725167,8.246666667,3.113329,5.300768,5.996795,90,90,90,98.96531619,1.76655221,8.247109683
MgH2,H-Mg,225,Fm-3m,-33.994418,59.784,16.824,45.404,0.373,6.484,3,-1.820992063,13.35875,3.367337,3.367337,3.367338,59.999993,60.000007,60,26.99882942,1.618842389,8.999609806
MgH2,H-Mg,61,Pbca,-69.599041,51.421,35.026,85.635,0.222,1.469,24,-0.137717125,9.0225,4.721936,4.870286,9.305791,90,90,90,214.0069319,1.633847993,8.916955494
MgH2,H-Mg,136,P4_2/mnm,-17.65272,51.183,34.685,84.86,0.224,1.54,6,-0.179877083,10.18833333,2.992537,4.476694,4.476694,90,90,90,59.9728031,1.457555667,9.995467183
MgH2,H-Mg,60,Pbcn,-35.300444,48.949,33.596,82.019,0.221,1.479,12,-0.17946075,10.00583333,4.479072,4.895504,5.392622,90,90,90,118.2457194,1.478509319,9.85380995
MgH2,H-Mg,29,Pca2_1,-35.300176,48.874,33.598,82,0.22,1.477,12,-0.179438417,10.01166667,4.646008,4.738673,4.863752,90,90,90,107.0799238,1.632681382,8.923326986
MgHg2,Hg-Mg,12,C2/m,-4.484707,46.299,7.994,21.954,0.421,27.639,6,-0.187242167,22.11333333,6.154381,6.154381,7.10627,71.645157,71.645157,33.165261,139.0705705,10.16080487,23.17842842
MgHg2,Hg-Mg,63,Cmcm,-4.482142,39.189,13.582,36.525,0.345,2.938,6,-0.186814667,22.895,7.776393,7.776393,5.007758,90,90,154.290014,131.3727721,10.75617807,21.89546201
MgHg2,Hg-Mg,15,C2/c,-4.509908,39.013,14.211,37.972,0.339,3.102,6,-0.191442333,22.915,5.177647,5.177647,6.803614,61.498673,61.498673,59.376058,131.1560751,10.7739495,21.85934586
MgHg2,Hg-Mg,139,I4/mmm,-2.239045,38.339,8.65,24.135,0.395,4.492,3,-0.186139333,22.87666667,3.857702,3.857701,5.174598,111.885546,111.885541,89.999994,65.4388162,10.79687112,21.81293873
MgHg2,Hg-Mg,12,C2/m,-4.453553,38.329,6.368,17.885,0.422,11.872,6,-0.182049833,23.135,6.592922,6.592922,6.641099,68.911029,68.911029,29.909976,133.5849886,10.5780518,22.26416477
MgHg3,Hg-Mg,25,Pmm2,-2.326703,35.391,9.257,25.477,0.38,4.728,4,-0.129754625,23.85,3.451806,5.083504,5.212037,90,90,90,91.45703647,11.36732652,22.86425912
MgHg3,Hg-Mg,139,I4/mmm,-2.323344,35.357,6.644,18.574,0.413,9.212,4,-0.128914875,23.4975,5.473742,5.473742,5.473742,131.687297,131.687297,70.723358,89.59336446,11.60378341,22.39834112
MgHg3,Hg-Mg,194,P6_3/mmc,-4.720794,28.559,4.122,11.75,0.431,9.988,8,-0.138178125,24.9,4.934128,4.934128,8.96839,90,90,119.999986,189.08892,10.99611755,23.636115
MgHg3,Hg-Mg,44,Imm2,-2.383884,16.978,4.653,12.79,0.378,3.935,4,-0.144049875,24.6875,3.145392,6.723051,5.003156,68.15547,90,76.47169,95.03331041,10.93955363,23.7583276
MgHg5,Hg-Mg,189,P-62m,-2.630764,22.543,6.988,18.817,0.364,5.072,6,-0.094827417,25.995,6.078218,6.078218,4.559735,90,90,120.000002,145.8890922,11.69242356,24.31484869
MgHg5,Hg-Mg,155,R32,-2.613875,22.393,3.181,8.979,0.433,4.454,6,-0.092012583,25.12166667,5.999793,5.999793,5.999792,60.657823,60.657823,60.657816,154.9872913,11.00604472,25.83121521
MgI2,I-Mg,164,P-3m1,-7.737388,6.117,3.564,8.949,0.271,2.049,3,-0.816130667,40.15,4.195685,4.195685,7.105727,90,90,120.000017,108.3289978,4.263115801,36.10966595
MgIn,In-Mg,12,C2/m,-4.226074,40.311,24.349,60.762,0.249,1.784,2,-0.1259305,24,3.35407,3.35407,5.136345,71.761858,71.761858,63.293152,48.00356123,4.812542458,24.00178062
MgIn,In-Mg,123,P4/mmm,-4.250188,40.202,25.082,62.276,0.242,1.675,2,-0.1379875,23.56,3.215712,3.215712,4.378462,90,90,90,45.2768048,5.102373667,22.6384024
MgIn,In-Mg,51,Pmma,-8.462386,36.629,17.852,45.881,0.291,2.519,4,-0.12849,23.76,3.22411,5.279034,5.384646,90,90,90,91.64768228,5.041462497,22.91192057
